,match,profit
142,b'\xdf\x02\x00\x00\x00\x00\x00\x00',-520.7127364127213
143,b'y\x1c\x00\x00\x00\x00\x00\x00',-520.7001072207083
144,b'P\x1f\x00\x00\x00\x00\x00\x00',-520.615688816647
145,b'\xec\x04\x00\x00\x00\x00\x00\x00',-520.5539869468269
146,b'\xec.\x00\x00\x00\x00\x00\x00',-520.4656743731108
147,b'\x11\r\x00\x00\x00\x00\x00\x00',-520.1605287584279
148,b'\xa24\x00\x00\x00\x00\x00\x00',-520.1395074291283
149,b'\xbf\x1e\x00\x00\x00\x00\x00\x00',-520.0218501235858
150,b'\xb85\x00\x00\x00\x00\x00\x00',-520.0054876105924
151,b'P\x0b\x00\x00\x00\x00\x00\x00',-519.8853612092348
152,b'\xb1\x03\x00\x00\x00\x00\x00\x00',-519.8567259527107
153,b'\x0b\x1f\x00\x00\x00\x00\x00\x00',-519.8008890933105
154,b'\xb3@\x00\x00\x00\x00\x00\x00',-519.7834619029295
155,b'\xef\x0b\x00\x00\x00\x00\x00\x00',-519.7159046588971
156,b'\xf2\x03\x00\x00\x00\x00\x00\x00',-519.7069456002945
157,b'\xbe)\x00\x00\x00\x00\x00\x00',-519.6986368903731
158,b'\x8c\n\x00\x00\x00\x00\x00\x00',-519.610884071873
159,b'\xa11\x00\x00\x00\x00\x00\x00',-519.559920075981
160,b'\x14\x0b\x00\x00\x00\x00\x00\x00',-519.5578695192725
161,b'P4\x00\x00\x00\x00\x00\x00',-519.5403679490411
162,b'\xcf:\x00\x00\x00\x00\x00\x00',-519.4805452977762
163,b'\xf1>\x00\x00\x00\x00\x00\x00',-519.3998593494748
164,b'\xf5\x14\x00\x00\x00\x00\x00\x00',-519.3784039210237
165,b'\x8f\x15\x00\x00\x00\x00\x00\x00',-519.2487264177983
166,b'`!\x00\x00\x00\x00\x00\x00',-519.1614152598139
167,b'\xdbA\x00\x00\x00\x00\x00\x00',-518.9765864761783
168,b'\\;\x00\x00\x00\x00\x00\x00',-518.9646143931626
169,b's7\x00\x00\x00\x00\x00\x00',-518.4184684500798
170,b'$\r\x00\x00\x00\x00\x00\x00',-518.332276494067
171,b'\xfe9\x00\x00\x00\x00\x00\x00',-518.2613349778285
172,b'\x8f9\x00\x00\x00\x00\x00\x00',-518.1514221457269
173,b'\xdb7\x00\x00\x00\x00\x00\x00',-517.9558510173666
174,b'\x9b\x0c\x00\x00\x00\x00\x00\x00',-517.7289420420279
175,b'\xbb\x1e\x00\x00\x00\x00\x00\x00',-517.7145503735932
176,b'\xdd\x07\x00\x00\x00\x00\x00\x00',-517.6584831716392
177,b' \x1b\x00\x00\x00\x00\x00\x00',-517.6138351366925
178,b'\xf2\x06\x00\x00\x00\x00\x00\x00',-517.5767001895827
179,b'R\x02\x00\x00\x00\x00\x00\x00',-517.430905762982
180,b'7\x14\x00\x00\x00\x00\x00\x00',-517.3306679067166
181,b'\xc8\x04\x00\x00\x00\x00\x00\x00',-517.2380891517302
182,b'\\\r\x00\x00\x00\x00\x00\x00',-516.8767784758552
183,b'\xa9:\x00\x00\x00\x00\x00\x00',-516.8651054747402
184,b'\x98$\x00\x00\x00\x00\x00\x00',-516.7170519015863
185,b'\xc9\x05\x00\x00\x00\x00\x00\x00',-516.7093624081175
186,b'\xc8\x1f\x00\x00\x00\x00\x00\x00',-516.6829962493996
187,b'l\x07\x00\x00\x00\x00\x00\x00',-516.6453161320293
188,b'\xcf\x1d\x00\x00\x00\x00\x00\x00',-516.6365884742619
189,b'M/\x00\x00\x00\x00\x00\x00',-516.5311259067638
190,b'\x1f1\x00\x00\x00\x00\x00\x00',-516.303648311928
191,b'-8\x00\x00\x00\x00\x00\x00',-516.131664901221
192,b'.=\x00\x00\x00\x00\x00\x00',-515.7308693153349
193,"b'7""\x00\x00\x00\x00\x00\x00'",-515.6220240087465
194,b't2\x00\x00\x00\x00\x00\x00',-515.5478753651211
195,b'\xd52\x00\x00\x00\x00\x00\x00',-515.5385011679734
196,b'\xed@\x00\x00\x00\x00\x00\x00',-515.4158900507009
197,"b'u,\x00\x00\x00\x00\x00\x00'",-515.3990619788948
198,b'\xf0/\x00\x00\x00\x00\x00\x00',-515.3913630567868
199,b'\x889\x00\x00\x00\x00\x00\x00',-515.346830344904
200,b'\t\x00\x00\x00\x00\x00\x00\x00',-515.2200513447266
201,b'\xf4\x1b\x00\x00\x00\x00\x00\x00',-514.9829435328465
202,b'\x893\x00\x00\x00\x00\x00\x00',-514.9601742399623
203,b'}\x1f\x00\x00\x00\x00\x00\x00',-514.6967238369803
204,b'\xfd\x19\x00\x00\x00\x00\x00\x00',-514.5690066536359
205,b'\xf2<\x00\x00\x00\x00\x00\x00',-514.3843783699198
206,b'\xce\x13\x00\x00\x00\x00\x00\x00',-514.1982341736452
207,b';\x1e\x00\x00\x00\x00\x00\x00',-514.1222050914768
208,b'/\x08\x00\x00\x00\x00\x00\x00',-514.1018826137947
209,b'\x86\n\x00\x00\x00\x00\x00\x00',-514.0701704002197
210,b'3\t\x00\x00\x00\x00\x00\x00',-514.0143052251051
211,b'g\x04\x00\x00\x00\x00\x00\x00',-513.910833457232
212,b'\tA\x00\x00\x00\x00\x00\x00',-513.8895198472566
213,b'E\x14\x00\x00\x00\x00\x00\x00',-513.5920837087357
214,b'\xb4$\x00\x00\x00\x00\x00\x00',-513.5256666027304
215,b'\x90\x1e\x00\x00\x00\x00\x00\x00',-513.4122971188445
216,b'rC\x00\x00\x00\x00\x00\x00',-513.3496830851996
217,b'd\x03\x00\x00\x00\x00\x00\x00',-513.1508185132373
218,b'J=\x00\x00\x00\x00\x00\x00',-513.0240913154083
219,b'\xb7B\x00\x00\x00\x00\x00\x00',-512.8194791620814
220,b'c.\x00\x00\x00\x00\x00\x00',-512.5891239286508
221,b'l\x0e\x00\x00\x00\x00\x00\x00',-512.5562643563431
222,b't\x1e\x00\x00\x00\x00\x00\x00',-512.3916474908021
223,b'\xc01\x00\x00\x00\x00\x00\x00',-512.3376387300068
224,b'f\x05\x00\x00\x00\x00\x00\x00',-512.3242071304924
225,b'v\x00\x00\x00\x00\x00\x00\x00',-512.1294768520809
226,b'\x8b&\x00\x00\x00\x00\x00\x00',-512.085172479624
227,b' 6\x00\x00\x00\x00\x00\x00',-511.99444179038306
228,b'J\x02\x00\x00\x00\x00\x00\x00',-511.9485906256288
229,b'a*\x00\x00\x00\x00\x00\x00',-511.7952426890079
230,b'\xaa\x04\x00\x00\x00\x00\x00\x00',-511.2638080816053
231,b'\x01\x03\x00\x00\x00\x00\x00\x00',-511.1848113189302
232,b'\xb5\x17\x00\x00\x00\x00\x00\x00',-510.98299513283405
